NIM,ExamplarCode,Rating
2394853752,3866,4
8931945288,2815,3
4292741687,539,4
2394853752,116,2
9231616010,1230,2
5870922792,1230,1
8931945288,2194,4
2394853752,680,3
7647334784,1241,4
8145425373,2907,4
2146973647,2344,3
9231616010,42,1
1550632135,2102,4
7125679799,2852,3
1474705841,2804,4
2394853752,960,5
5870922792,1844,4
1474705841,1151,4
4606201574,318,4
7125679799,852,5
7125679799,1308,2
4319308516,920,2
1474705841,1759,3
4292741687,3616,4
1550632135,1738,2
4292741687,1158,2
2146973647,3825,5
4606201574,687,3
2394853752,2120,5
8931945288,3037,1
9231616010,2081,4
6355475778,3815,4
1474705841,1109,1
1550632135,3928,3
2394853752,1285,1
2193149183,3218,3
2146973647,3001,1
8931945288,3155,4
4606201574,1818,2
6355475778,915,4
2146973647,949,3
2146973647,2038,2
6355475778,286,5
2193149183,1416,1
8931945288,1935,2
8145425373,2814,4
5870922792,1128,5
8931945288,2451,3
9231616010,1711,5
1474705841,2700,3
4606201574,3775,2
8145425373,1460,5
2193149183,228,5
4606201574,1932,4
4292741687,2080,5
7125679799,1933,3
1550632135,807,5
2193149183,1214,2
2193149183,1785,5
1550632135,1438,5
5870922792,364,1
4606201574,3783,3
2394853752,1861,2
7647334784,3206,3
4319308516,2102,3
6355475778,2545,2
1550632135,1115,3
9231616010,1306,1
2394853752,1001,1
7125679799,2963,4
7125679799,1913,2
6355475778,115,1
8145425373,2930,5
7125679799,2694,4
6355475778,2968,3
7125679799,1336,4
4319308516,1554,2
2146973647,3093,2
4606201574,2099,4
1550632135,702,3
2193149183,1574,5
6355475778,1791,5
7647334784,3868,4
9231616010,968,1
1474705841,3446,4
1474705841,196,5
4606201574,3166,2
1550632135,474,1
9231616010,3021,1
7647334784,613,3
1474705841,3652,4
7125679799,705,5
4606201574,3373,3
7125679799,2947,2
2146973647,957,1
5870922792,3032,4
4319308516,3372,5
8931945288,1316,3
1550632135,2851,1
8931945288,2166,2
2394853752,542,1
1474705841,3617,1
9231616010,1015,4
8145425373,301,4
4319308516,244,2
1550632135,1853,1
9231616010,978,2
9231616010,1643,3
6355475778,597,4
2146973647,2151,4
7647334784,1711,1
9231616010,2817,1
1550632135,129,2
4292741687,3727,1
2146973647,819,4
4606201574,892,3
2146973647,2922,5
4319308516,2753,2
2193149183,2476,1
2146973647,13,4
7647334784,3775,5
8145425373,122,5
2394853752,3294,3
7125679799,3300,1
2193149183,227,3
8145425373,1592,2
4606201574,3217,2
9231616010,681,2
8931945288,679,2
6355475778,1634,4
2146973647,2447,5
2394853752,3277,3
2146973647,2697,1
7125679799,2053,1
7647334784,2605,3
2193149183,2531,2
5870922792,1372,4
4319308516,1852,3
4319308516,3853,2
8931945288,1637,1
1550632135,2444,4
4606201574,228,5
1474705841,522,2
2394853752,2085,4
4292741687,282,4
6355475778,1796,3
2394853752,3259,4
4319308516,8,2
4606201574,2445,5
8145425373,2198,1
4292741687,1814,1
8145425373,2901,1
1550632135,271,3
1550632135,3305,4
4292741687,1963,3
7647334784,478,4
8145425373,2627,2
2394853752,3153,1
8145425373,2478,1
1474705841,925,2
1550632135,924,3
2193149183,3091,4
7647334784,2080,5
7647334784,1629,1
9231616010,2057,4
9231616010,2547,5
1474705841,3408,5
4319308516,1055,4
5870922792,95,2
4319308516,2754,4
2193149183,3774,5
7125679799,239,3
5870922792,668,5
7125679799,920,3
5870922792,2774,1
2394853752,3465,4
4319308516,1415,1
1550632135,255,5
5870922792,558,2
8931945288,1971,3
8931945288,3013,5
7125679799,1634,1
5870922792,407,5
4292741687,3166,2
7125679799,2236,3
2193149183,1117,5
9231616010,496,2
9231616010,1690,2
