Examplar Code,Book Title,Author ID,Author Name,Stock,Borrowed,Available,Category,BookYear
2,Did Adam and Eve Really Exist?: Who They Were and Why You Should Care,1,Zachary Rogers,5,5,0,General Knowledge,2022
4,"Universe Next Door, The: A Basic Worldview Catalog",2,Helena Bailey,6,6,0,General Knowledge,1993
6,"Christianity and Western Thought: From the Ancient World to the Age Englihtenment, Book 1",3,Walter Ruiz,5,5,0,General Knowledge,2013
8,"Christianity and Western Thought: A History of Philosophers, Ideas and Movements, Book 2",4,Tarek Yang,2,2,0,History,1990
9,"Christianity and Western Thought: Journey to Postmodernity in the Twentieth Century, Book 3",5,Quentin Bailey,1,1,0,General Knowledge,2012
11,"History of Western Philosophy and Theology, A",6,Ralph Green,2,2,0,History,2011
13,Calvin and Culture: Exploring a Worldview,7,Victor Perez,5,5,0,General Knowledge,1997
14,Chosen by God,8,Ella Newton,3,3,0,General Knowledge,1983
16,Christian Interpretations of Genesis 1: Christian Answers to Hard Questions,9,Kara Thompson,1,1,0,General Knowledge,1981
17,"Creation, Evolution, and Intelligent Design",10,Valerie Jordan,2,2,0,General Knowledge,2015
18,Creation Regained: Biblical Basic for a Reformational Worldview,11,Eliana Carter,3,3,0,Technology,2004
21,Jesus Christ and the Life of the Mind,12,Jamal Ruiz,1,1,0,General Knowledge,2022
23,Essential Truths of the Christian Faith,13,Harriet Kelly,4,4,0,Technology,2021
25,Logic: a God-Centered Approach to the Foundation of Western Thought,14,Ingrid Gibson,13,13,0,General Knowledge,1984
27,"Unquenchable Flame, The: Discovering the Heart of the Reformation",15,Willow Walker,2,1,1,General Knowledge,2019
29,"God, Adam and You: Biblical Creation Defended and Applied",16,Yana Watson,4,4,0,General Knowledge,2007
30,"Chris Chrisman Goes to College: And Faces the Challenges of Relativism, Indualism and Pluralism",17,Kiera Gonzalez,3,3,0,General Knowledge,2013
31,Kebijakan Ahok,18,Bryce Rivera,7,7,0,General Knowledge,2014
42,Kalkulus,19,Ralph Kelly,4,4,0,General Knowledge,2017
48,"Teknologi Pipa Kalor: Teori, Desain dan Aplikasi",20,Valerie Ruiz,1,1,0,Technology,1992
58,Ilmu Bangunan: Struktur Bangunan Rendah,21,Bryce Carter,2,2,0,General Knowledge,1999
60,Teknologi Bangunan,22,Landon McCarthy,2,2,0,General Knowledge,1980
63,Utilitas Bangunan Dasar,23,Claire Jenkins,1,1,0,General Knowledge,2020
65,Teknologi Membangun untuk Bangunan Bertingkat,24,Jacob Lopez,1,1,0,General Knowledge,2005
68,Metode Konstruksi untuk Pekerjaan Fondasi,25,Kiera Howard,2,2,0,General Knowledge,1980
73,Manajemen Proyek: Pedoman untuk Mengelola dan Memimpin serta Bekerja Sama dalam Proyek,26,Xavier Reed,1,1,0,General Knowledge,2006
74,Metode Konstruksi Dewatering,27,Wendy Zhang,1,1,0,General Knowledge,1986
81,Ilmu Bangunan: Struktur Bangunan Tinggi dan Bentang Lebar,28,Zachary Hughes,1,1,0,General Knowledge,2020
87,Makna Arsitektur: Suatu Refleksi Filosofis,29,Zara Lewis,5,5,0,General Knowledge,2011
90,Metode Konstruksi Gedung Bertingkat,30,Jacob Ward,2,2,0,General Knowledge,2011
93,Kalkulus Lanjutan,31,Blake Price,1,1,0,General Knowledge,2008
95,Pengantar Metode Penelitian,32,Felix Lopez,3,3,0,General Knowledge,2003
100,Utilitas Bangunan,33,Ulysses Martin,2,2,0,General Knowledge,2016
102,Manajemen Infrastruktur dan Pengembangan Wilayah,34,Lamar Reed,1,1,0,General Knowledge,1985
104,Kimia Anorganik Dasar = Basic Inorganic Chemistry,35,Carmen Watson,1,1,0,General Knowledge,2018
110,Manajemen Proyek Berbasis Project Management Body of Knowledge (PM-BOK),36,Evan Young,3,3,0,General Knowledge,2003
115,Jakarta Architecture+Adaptation = Jakarta Arsitektu+Adaptasi,37,Oscar Taylor,1,1,0,Architecture,1993
116,Konsep Dasar Kimia Analitik,38,Ivy Rivera,8,8,0,General Knowledge,1995
118,Biokimia Nutrisi dan Metabolisme: dengan Pemakaian Secara Klinis =  Nutritional Biochemistry and Metabolism,39,Wendy Bennett,3,3,0,Technology,2005
121,Perspektif Lingkungan Desa - Kota: Teori dan Kasus,40,Alice Adams,2,2,0,General Knowledge,1987
122,Asal-Usul Bhinneka Tunggal Ika = The History of Bhinneka Tunggal Ika,41,Kiera Clark,1,1,0,History,2003
124,Amdal: Analisis Mengenal Dampak Lingkungan,42,Valerie White,2,2,0,General Knowledge,2011
125,Proposal Penelitian dengan Contoh,43,Blake Cruz,1,1,0,General Knowledge,1999
129,Metode Konstruksi Bendungan,44,Ralph Howard,1,1,0,General Knowledge,1980
131,Menguak Rahasia Bisnis Gereja,45,Harriet Wright,2,2,0,General Knowledge,2009
132,Passion and Purity = Hasrat dan Kekudusan,46,Jamal Turner,5,5,0,General Knowledge,2001
139,Dosa dan Kebudayaan,47,Sophia Bennett,3,3,0,General Knowledge,2019
140,Yesus Kristus Juruselamat Dunia,48,Bryce Jordan,2,2,0,General Knowledge,1982
145,Karunia Musik: Para Komponis Besar dan Pengaruh Mereka,49,Tania Edwards,1,1,0,General Knowledge,2021
146,How to be a Christian Without Being Religious = Menikmati Kebebasan Sejati Sebagai Orang Kristiani,50,Cynthia Long,3,3,0,Technology,1996
147,"Membentuk Hati, Mendidik Akal Budi = Training Hearts Teaching Minds",51,Ralph Lane,2,2,0,Technology,2020
148,Predestinasi dan Kehendak Bebas,52,Victor Rossetti,6,6,0,General Knowledge,1987
149,Sejarah Musik 1,53,George Carter,4,4,0,General Knowledge,2013
152,Security Intelligence: A Practitioner's Guide to Solving Enterprise Security Challenges,54,Raya Adams,2,2,0,General Knowledge,2009
158,Computer Organization and  Design: The  Hardware/Software Interface,55,Ximena Bailey,3,3,0,General Knowledge,1984
159,Algorithm Design,56,Evan Newton,2,2,0,General Knowledge,2014
161,Foundations of Computer Sciences,57,Raya Edwards,5,5,0,General Knowledge,2010
164,Computer Security: Principles and Practice,58,Claire Jordan,5,5,0,General Knowledge,1981
168,PHP and MySQL Web Development,59,Omar Jenkins,7,7,0,General Knowledge,2014
170,Data Structures and Problem Solving Using Java,60,Benjamin Simmons,4,4,0,General Knowledge,1987
171,Energy Storage in Power Systems,61,Diego Brooks,3,3,0,General Knowledge,1990
187,Fundamentals of Biostatistic,62,Xander Phillips,1,1,0,General Knowledge,2012
188,Vector Mechanics for Engineers: Statics,63,Gregory Clark,3,3,0,General Knowledge,2001
190,Iman Kristen dan Problema Sosial,64,Harriet Thomas,4,4,0,General Knowledge,1992
193,Theologi Para Reformator,65,Felix Perez,2,2,0,General Knowledge,1988
195,Theologi Martin Luther: Perkembangan Historis dan Theologi Sistematiknya,66,Walter Brooks,2,2,0,General Knowledge,2004
196,Allah di Lahan Terbengkalai = God in the Wasteland,67,Wendy Rivera,1,1,0,Technology,1987
197,Ajarlah Kami Bergumul: Refleksi atas Kitab Mazmur,68,Tarek Coleman,2,2,0,General Knowledge,1999
198,Jaminan Iman: Devosi Pembangun Iman,69,Landon Turner,1,1,0,General Knowledge,1985
199,Allah dan Kebudayaan = God and Culture,70,Helena Martin,2,2,0,General Knowledge,1988
200,Apologetika: Sebuah Pembenaran bagi Kepercayaan Kristen,71,Eliana Cooper,1,1,0,General Knowledge,1998
205,Stories with Intent: A Comprehensive Guide to the Parables of Jesus,72,Ulysses White,1,1,0,General Knowledge,1993
210,"Reformed Dogmatics, Volume III: Sin and Salvation in Christ",73,Marco Gonzalez,2,2,0,General Knowledge,2010
214,"Te Deum: Church and Music, the",74,Zane Flores,1,1,0,General Knowledge,2007
216,"Reformed Dogmatics, Volume I: Theology Proper",75,Lamar Sanders,2,2,0,General Knowledge,1981
223,Reading Jesus's Bible: How the New Testament Helps Us Understand the Old Testament,76,Walter Jenkins,1,1,0,General Knowledge,1984
227,"Canonical Theology: the Biblical Canon, Sola Scriptura, and Theological Method",77,Priya Evans,1,1,0,General Knowledge,1998
228,Primer on Postmodernism,78,Marco Gibson,1,1,0,General Knowledge,2005
230,"Allah Trinitas: Dalam Alkitab, Sejarah, Theologi, dan Penyembahan",79,Raya Turner,2,2,0,General Knowledge,2022
234,Dasar-Dasar Iman Kristen = Foundations of the Christian Faith,80,Jamal Bennett,3,3,0,Technology,2019
239,Tidakkah Kami Mempunyai Hak? = Have We No Rights?,81,Ingrid Ruiz,4,3,1,Technology,2012
240,Pengalaman Rohani Sejati,82,Xavier King,1,1,0,General Knowledge,1995
241,Rahasia Kemenangan dalam Cinta dan Seks Menuju Pernikahan,83,Uma Gray,2,2,0,General Knowledge,2017
244,"Relasi: Kekusutan yang Layak Dihadapi = Relationships: Mess Worth Making, a",84,Nadia Owens,7,7,0,General Knowledge,2009
245,Perjuangan Menantang Zaman,85,Valerie Butler,2,2,0,General Knowledge,1980
247,Alkitab dan Akhir Zaman = The Bible and the Future,86,Marco Wright,1,1,0,General Knowledge,2019
249,"Iman, Penderitaan, dan Hak Asasi Manusia",87,Marco Brooks,1,1,0,General Knowledge,2007
250,Baptisan dan Karunia Roh Kudus,88,Samir Simmons,1,1,0,General Knowledge,2021
255,Lima Pokok Calvinisme,89,Eliana Price,24,23,1,General Knowledge,2009
258,"Takhta Kristus dalam Keluarga, Jilid 1",90,Harriet Jordan,2,2,0,General Knowledge,1995
262,Mengatakan Kebenaran dalam Kasih: Konseling dalam Komunitas = Speaking Truth in Love: Counsel in Community,91,Priya Patterson,2,2,0,General Knowledge,1994
269,Menulis (Ilmiah) itu Menyenangkan,92,Tania Lane,1,1,0,General Knowledge,1998
271,Panduan Teknis Survei Lapangan Geologi & Geofisika,93,Uma Mitchell,1,1,0,General Knowledge,2022
273,Introduction to Geotechnical Engineering,94,Felix Rivera,1,1,0,General Knowledge,1996
279,Geotechnical Site Characterization,95,Zachary White,3,3,0,General Knowledge,2002
282,Surat-Surat Screwtape = Screwtape Letters,96,Wendy Martin,2,2,0,General Knowledge,1995
285,Mengajar untuk Mengubah Hidup,97,Kofi Howard,3,3,0,General Knowledge,2010
286,Perang dengan Kata-Kata = War of Words,98,Ralph Ward,6,6,0,General Knowledge,1986
287,Doa dan Puasa untuk Menentukan Masa Depan,99,Monica Foster,1,1,0,General Knowledge,2003
291,Rencana Allah Bagi Anda = God's Plans For You,100,Xavier Gray,1,1,0,General Knowledge,1999
294,Computer Networking: A Top-Down Approach,101,Yana Rogers,4,4,0,General Knowledge,2021
295,Automatic Control Systems,102,Ulysses Reed,1,1,0,General Knowledge,1995
296,Bioinformatics: A Computing Perspectives,103,Nadia Torres,1,1,0,General Knowledge,2011
299,Rekayasa Gempa dan Sistem Struktur Tahan Gempa,104,Aaliyah Rossetti,4,4,0,General Knowledge,1999
300,Metode Matrik Kekakuan Analisis Struktur,105,Harriet Hughes,6,6,0,General Knowledge,2003
301,Metode Numerik dalam Ilmu Rekayasa Sipil,106,Grace Phillips,1,1,0,General Knowledge,2002
303,Perencanaan Struktur Gedung Beton Bertulang Tahan Gempa,107,Benjamin Gibson,1,1,0,General Knowledge,1995
304,Studi Komparasi Desain Bangunan Tanah Gempa dengan Menggunakan SNI 03-1726-2002 dan RSNI 03-1726-201x,108,Uma Walker,1,1,0,Technology,2016
306,Pengantar Praktis Menggunakan Latex untuk Membuat Laporan Ilmiah dan Jurnal,109,Raj Brooks,1,1,0,General Knowledge,2008
307,Belajar Mikrokontroler AT89C51/52/55 (Teori dan Aplikasi),110,Omar Adams,1,1,0,General Knowledge,1987
311,Kidung Persekutuan Reformed Injili,111,Xander Newton,4,4,0,General Knowledge,2002
